d, u, t, b
"Yesterday, 00:44",YMorishi,Free CRT-TV,"Free 26 inch, CRT-TV is available in Zurich.
Please PM, if you are interested in."
"26.01.2013, 10:23",Zurich2009,Wanted Moving box and Bubble Wrap,"Dear All,
I would need a moving box and some bubble wrap. I live near Zurich. Can anyone please help.
Thanks and BR,
VV"
"17.02.2013, 16:52",ovaho,Free items (Basel),"I have following items for free pick up only in Basel (4054).
PM me if interested.
These items are collectible as of now.
1. Small bin (never used)
2. Hanger (all-purpose, handmade of wood)
3. Living and working in Switzerland book (old edition)
4. Free TV (CRT) - reserve
5. Bookshelf – short - reserve
6. Bookshelf – long - reserve
7. TV bank http://www.ikea.com/ch/de/catalog/products/70128203/
8. Wardrobe (back cover destroyed)
These items are collectible as of March 1st but before March 14th.
1. Small plastic chair
2. Plastic bin
3. Weight
4. Standing lamp with bulb
5. Long Curtain for high ceiling room (picture follows later)
6. Short Curtains (picture follows later)
7. DVD player (without zoning, button broken a bit but usable perfect) - reserve
Thank you for interest."
"28.01.2013, 17:46",everyday-a-new-dress,Free quality TV stand (non-ikea) Baden pickup,"I am giving away this quality coffee table (non-ikea).  very good condition.
Pickup in Baden"
"28.02.2013, 18:41",Marz,Books to give away (pick up in Zollikerberg),"I have around 25 books to give away. Some fictional, historical, travel guides. Here are some of the titles.
Amy Hubertman Hello Heartreak
B. Trapido Frankie and Stankie
Living and Working in Switzerland
G. Aplerovitz The Decision to Use Atomic Bomb
J. Peterson, Dont Blink
J.Barnes Staring At the Sun
German Phrase Book
J. Gaarder Sophies World
Rick Stevens Italy
K. Hosseini  Thousand Splendid Suns
K.Hosseini The Kite Runner
H.Coben Shelter
W. Tevor The Story of Lucy Gault
And a few more. Id like one person to take them all, please. Pick up in Zollikerberg by March 10th. Thanks"
"25.02.2013, 20:32",Maria,Looking for moving boxes in the Aarau area,Anyone have some to give away. Would be much appreciated. Thanks
"24.02.2013, 12:59",glennsche,"2m Long, 150cm wide 22cm high BOX SPRING","hi there,
Queen sized bed boxspring to give away in Kilchberg ZH. 
Clean and used for <1 year before it ended up in storage. 
pm if interested"
"24.02.2013, 19:27",Z&A,Free Ikea bed frame with mattress,"For free Ikea bed frame with mattress, pick up Adliswil 09/03/2013. The bed is 5 years old but is in very good condition as it has only had occasional use by guests visiting.
Please PM me if you would like to reserve."
"26.02.2013, 23:37",elenoire,White Ikea wardrobe DOMBÅS for free!!!,"Hello EF!
since I have to move quickly I would give away this white nice Ikea wardrobe DOMBÅS, ideal for bedroom, with 4 shelves, hanging rod for coats, 3 doors.
Dimensions: Width: 140 cm, depth: 51 cm, height: 181 cmhttp://www.ikea.com/ch/de/catalog/products/70215714/
It is partially already dissasembled. Pick up place - Horgen 
here the photos:please let me know who is interested.
thanks"
"27.02.2013, 16:33",pbrogers,"[Free] Household items [Bassersdorf, near Zurich Airport]","I've got a few items for free that perhaps someone would be happy to have before I move in March. 
Pick up in Bassersdorf (near Zurich Airport)
Available: immediately
Latest pick up date: 16 March
Send me a PM if you are interested in any of the items.
Larger photos are also available."
"27.02.2013, 07:22",markb,IKEA Double Wardrobe For Free now,"Ikea wardrobe for free (150/60/210cm w/d/h).
Giving away as need extra space in apartment.
Halogen lamps above doors.
Good condition apart from minor hole in backing to feed electric plug for lamps. cost new 700CHF. 
Must be willing to pick up from my apartment (Thalwil). 
Dismantling Required for removal."
"27.02.2013, 15:50",buono,Kids Playpen - collection from Horgen or Adliswil,"Hello all,
We were given a kids playpen by a colleague and as our boy has outgrown it, we would like to pass on the karma here.
It has different coloured sides and a lightly padded base. There are some splits to the plastic on the base but we covered it with a blanket from Ikea secured with some plastic tablecloth grips from Migros and it looked great.
The pic shows the playpen as-is. It needs assembly which will take about 15 mins.
Yours for free if you can collect from Horgen or Adliswil."
"24.02.2013, 16:52",Bindu,"Free: Shopping Trolley, NAppy Diaposal and Fisher Price building blocks",PM me for time of pick and address
"26.02.2013, 23:58",chetana,Aptamil 1 to give away,"Hello,
I have an opened box of the following to give away as my baby was switched to a special formula because of his allergies:
Aptamil 1: Half used 800 gm expires May 2013
Aptamil 1 HA: Only opened 800 gm expires Oct 2013
If interested, please PM. To be picked up from our home in Zurich Oerlikon.
Best,
Chetana"
"25.02.2013, 21:37",gastrep,FREE Cupboard [Zurich 8006],"Dark brown and it has wheels.
The dimensions are:
Width: 94cm
Heigth: 67cm
Depth: 54cm 
Pick up at Zurich 8006,
Please PM me for requests and questions.
Cheers,"
"25.02.2013, 22:06",gastrep,FREE SONY audiosystem [Zurich 8006],"Free sony audiosystem
HTC-H2900
Works perfectly.
Pick up at Zurich 8006 after 2nd March.
Cheers,"
"20.02.2013, 22:22",hi_zurich,Free Small oven :- rarely used,"Giving away small oven rarely used for FREE :-)
Bought from Fust Primotecq http://www.fust.ch/de/nav/shop/onlin...51f9c507173822
Three different modes of operation
- Top and bottom heat / grill / toast function
- 60 'timer.
- Power: 1300 W
- Capacity: 18 l
Pickup zürich stauffacher
Please PM me if interested .
Thanks"
"17.02.2013, 12:50",Gweedoz84,Free sofa-bed Zug,"I need to get rid of a perfectly functional Ikea bed-sofa.
No charge o.n.o.
Please come and pick it up in Zug Altstdat near Kolin Platz.
Regards
Guido"
"25.02.2013, 12:48",rachael8816,Children's Fisher Price spark art easel FREE (Baar),Free Sparkart easel.  Talks! Pick up in Baar.
"16.02.2013, 13:54",Stephclef,"Free: Bed, Table, Cabinet, Espresso Machine and More! Zürich Oerlikon","Items pictured below:
White Drawers
Length: 47cm, Width: 47 cm, Height: 75cm
Pictures:
◦2x 28cmx17cm
2x 30cmx30cm
US twin size bed (frame and mattress):
102cm x 194cm
frame height: 29cm
Wooden table:
91cm x 91cm square
Height: 71cm
White Cabinet
Length: 92cm, Width: 47 cm, Height: 75cmAdditional items not pictured:
Ikea futon:http://www.ikea.com/ch/de/catalog/products/10087106/
Espresso machine:
Solis SL 90http://coffeegeek.com/reviews/consumer/solis_sl-90
PM me if you're interested. 
Items must be picked up.
Preferable if you can take most/all of the items."
"18.02.2013, 21:01",Stephclef,Free! Futon/Sofa Bed and Chest of Drawers - Zürich Oerlikon,"Items pictured below:
Ikea futon:http://www.ikea.com/ch/de/catalog/products/10087106/
White Drawers
Length: 47cm, Width: 47 cm, Height: 75cm
PM me if you're interested. 
Items must be picked up from Oerlikon - close to train station and tram 11."
"24.02.2013, 23:09",u12km5,Free clothes (size 6-8),"After moving to Basel and sampling lots of new exciting foods I have gone up a dress size or two (oops!). I have a few old clothes to give away that there is no hope of me fitting any time soon.
The items:
1. H & M black mini skirt with zip
2. Dorothy Perkins size 6 brown linen trousers
3. Blue Vila blouse"
"20.02.2013, 13:16",tvlgypsy,ZH: free iPad camera connection kit,"opened but unused, still in box.
If you need one then you may have this one!
located in Zumikon but could possibly meet or mail"
"23.02.2013, 13:47",neil15,"Wooden Dolls House - FREE - Baar, Zug","A wooden dolls house complete with wooden furniture (some of which can be seen in the photo below).  Used but still in good condition.
PM if interested."
"08.02.2013, 11:08",JustRose,Vaccuum cleaner free- Basel,I have a vaccuum cleaner to give away.  Its a bit dated and loud but it works fine.  I upgraded to a bagless so don't need the old one any more.  Pick up in Basel near Heuwagge.
"21.02.2013, 12:13",karun,Free -  free FURNITURE NEAR SEEBACH,"Hi All,
I would like to give away free some furniture items..if any one intersted please send me pm..."
"07.02.2013, 20:32",ovaho,"Wardrobe, laptop, small table for free [Basel]","I have to dispose these items soon but before I will do that if anyone would like to have any of them, please PM me.
1. Wardrobe Ikea Kullen, not in a strong condition as it was moved once. I do not even have a tool to dismentel. If you think you want it and can manage to bring along, please come and take it.
2. Sony labtop, very old one I was given last 2 years only for DVD playing when I had not bought DVD player. I am going to bring it to MediaMarkt if nobody wants.
3. small round table. Light weight."
"20.02.2013, 21:45",karun,Free/IKEA PS WARDROPES,"Hi Friends,
I would like to give away IKEA PS Ward-ropes(white colour) 2 peaces...if any one wants please send me PM.http://www.ikea.com/us/en/catalog/pr...471/#/20120884
Thanks&Regards."
"18.02.2013, 13:13",villagra,2 Sofas & coffee table for free in Zurich,"Hello, 
  I'm giving away these two sofas:http://sdrv.ms/XIvAOdhttp://sdrv.ms/VZDEQo
and a coffee table like this one:http://www.ikea.com/ch/de/catalog/pr...958/#/00104291
Items must be picked up."
"20.02.2013, 12:04",Snowy Albus,Free: Drawers + Desk,"Hi EFers,
I am giving away two drawers.
No. 1 : 80cm*48cm*120cm (width/depth/height)
No.2: 78cm*41cm*95cm*(width/depth/height)
And, I also have a black desk to offer. Pls be aware, only the black desk, but the white part of drawer underbeneath the black desk is not included. 140cm*75cm*75cm (w/d/h)
Btw, contents on the pics are NOT included."
"20.02.2013, 14:10",romanhuber,[Free] commode [Zurich],"Free commode in Zurich
Brand: unknown
Height: ~90 cm
Width: ~120 cm 
Depth: ~40 cm
If you wish, exact dimensions can be provided
Color: black
bought second hand, so don`t know how old it is
general state is ok but not as good as new
The commode has to be picked up and since I have back problems, I can not help to carry it!
PM me for details"
"20.02.2013, 13:57",rachael8816,Netherlands Dutch Groep 4 School books. Free. (Baar),"Set of text books, cards and writing book (this has some pages written in).
Groep 4 in the Netherlands.
Also a Knutselen book, with craft ideas.
Free, pick up in Baar."
"17.02.2013, 21:49",karun,Wanted/Moving Boxes,"Hi Friends,
we need moving boxes.we would be glad to know if any one give boxes for free...
Thanks in Advance."
"19.02.2013, 11:17",marchise,FREE SOFA in Zurich,For Sale: Sofa [Zurich] For free my IKEA sofa in very good condition. The dimension are:190 cm long X 80cm large X high 80cm Please PM if interested
"18.02.2013, 21:46",americankunstlerin,Zug Christmas tree,I have a 5ft prelit Christmas tree. It was one of the cheaper ones but looks nice when covered with ornaments.  Here it is decorated.
"18.02.2013, 00:51",Cloudia,"[Free Kitchen Stuff] Pick up in Adliswil 8134, valid till Wednesday 20th Feb.","We have some kitchen stuff to give away. Here's the list
1. Three pots(one with lid)
2. Two frying pans(24cm and 30cm), One work(30cm) - one with lid(suits either of the two 30cm')
3. Six glasses(size various), one plastic cup, one champagne glass and one shot glass
4. Four mugs
5. One ceramic bowl
6. One baking dish
7. Six plates, one glass serving dish, two cup plates
8. One bread knife, one sharpening steel
9. Two plastic cutting board, one wooden one
10. One espresso pot
11.Two salad serving utensil(plastic)
12. Folks and knives (see the pics)
13. One bottle opener, one can opener and one wooden serving spoon
Please come before Wednesday evening Feb.20. People who want a big lot will get priority. Thanks!"
"29.10.2012, 11:14",Wife_of_Porsch,( Now FREE ) Summer tyres on rims (Neuchatel),"I have 4 part worn summer tyres on steel rims for sale. 
They are 185/65R14.
Tyres have been used for one season
50chf for all 4. 
I can bring them to anybody in Neuchatel or La Chaux-de-fonds or thereabouts."
"07.02.2012, 11:25",Gazzy,( Now FREE ) Australian Accounting Books,"Hi, I a few books which are used for the OTEN/TAFE accounting course, these are great if anyone is thinking of doing the course long distance, like I did.
I would like Chf 10.00 for each, pick up Zurich or Winterthur..
Financial Accounting
Management Accounting
Australian Tax
Not sure of the versions, but I found even the older versions had the required information.
Thank you Gazzy"
"16.02.2013, 22:32",Cloudia,"[FREE BOOKS] German learning books from Berlitz, pick up in Adliswil 8134","I have two German learning books (with CD) to give away, they are A2.1 and A2.2, suitable for beginner.
They are the 2 and 3 in below picture. (the left two in the series of 4)
PM for contact details. Thanks
Cheers
Cloudia"
"18.02.2013, 17:06",Natalia0303,Two Skirts size 10 - Free!,"One denim H&M mini skirt size 10 - well worn. 
One White Stuff skirt with lovely pink lining, size 10 - never worn. 
Collection only - Wollishofen."
"15.02.2013, 10:39",obayraktar67,Free stuff:  Bed and 2 supporter platforms in Morgental,"You can fınd out all the detaıls about NYVOLL BED from IKEA's web pagehttp://www.ikea.com/us/en/catalog/ca...bedroom/16284/
Length: 85 "", Width: 56 3/4 "", Footboard height: 16 1/2 ""
Length: 216 cm, Width: 144 cm, Footboard height: 42 cm
It is light grey"
"17.02.2013, 18:21",Natalia0303,Free Bedroom Furniture and sofa :),"Hi EF folks!
A friend of mine is moving out of Switzerland and would like to give for free her IKEA sofa (used for 10 months) and bedroom (bed, matress, 2 bedside tables and wardrobe).  Should you be interested, please send a PM with your e-mail adress.  Pick up date will be March 2, 2013 to be picked up from Zurich Hongg. 
Thanks!"
"17.02.2013, 14:10",Cloudia,"[FOR FREE] TOMY child monitor, pick up in Adliswil, 8134","I got this Tomy Child Monitor Set from English Forum, never use it myself. Now we are moving soon. Anyone interested in it can come pick it up and try.
PM for contact details.Reassurance when your little explorer is on the move Excellent Digital-Quality reception 4-5 metre zone Beeper warning Secure fastening, Clips easily to clothing or belt Teddy Face Badge Cover for Childs Monitor Rechargeable 
Cheers
Cloudia"
"17.02.2013, 15:54",katerina!,"2 coffee tables in Glattbrug, ZH","Two IKEA dark-brown coffee tables are available in Glattbrug,ZH (airport arеа)  in very good conditions.http://www.ikea.com/ch/de/catalog/pr...036/#/40104294
Let me know
thanks"
"09.02.2013, 19:42",bornfreediedstudying,Any used badminton rackets in good condition for sale,"Does anybody want to sell your used badminton rackets which is in good condition, please pm me.
Cheers..."
"01.12.2012, 13:53",Mrs. Doolittle,Free Items: Near Baden / Niederweningen,"1. Stand, Ikea. Width: 63 cm Depth: 44 cm Height: 40 cm Max. load: 50 kg
2. Wok, Ikea,  35 cm
3. Undersink Bathroom Cabinet - gone (photo has been deleted)
4. Assorted knives, Knife block and cutting board -gone (photo has been deleted)
5. 12 Coca Cola Glasses - New in packages - gone (photo has been deleted)"
"17.02.2013, 13:25",rjkeller,"For Free: Desk, shelf and under sink cabinet [Naenikon, ZH]","Free for pick-up in Naenikon, ZH (8606). Please PM me if interested and thanks for looking!"
"17.02.2013, 11:28",darrylmitchell,Free sofa located in Zürich.,"I have a free sofa (225x225x80cm) for anyone who will pick-up.
Please contact me for more info.
Darryl
076 438 0169"
"17.02.2013, 10:59",gastrep,Ski 170cm for free [ZH 8006],"Volki 170cm
Old, but usable.
Currently adjusted to my boots
Nordica sole 305mm
Pick up at Zurich 8006.
Please PM for requests or questions."
"16.02.2013, 23:26",drcpt,Looking for moving boxes - Adliswil / Zurich,"Hi,
we are moving in two weeks, and we need some moving boxes. 
would be grateful if someone could spare us some.
Thanks!"
"16.02.2013, 16:25",tuckera,"Bassinet -zurich, oerlikon",Free to a good home. Missing one bear. Preferred pickup this weekend.
"16.02.2013, 12:21",Marz,Vases and candlelight holders free in Zollikerberg,Free in Zollikerbeg for a pick up.
"15.12.2012, 13:50",dino,small electronics - pick up in Zurich Enge,"2 x Nintendo Gameboy Advance hand held consoles
no accessories or gamesCompaq IPAQ 3630 Pocket PC
power supply and charging/synchronization cradle included.
works fine, but battery does not hold charge any more.Terratec Noxon Audio
internet/streaming radio 
old but works fine, does not like my new home wifi router
Can be picked up at Zurich Bhf Enge any working day."
"10.02.2013, 12:35",alimcbill,Free: Moving boxes - 1004 Lausanne,If someone needs moving boxes please let me know because soon I will have to throw them away.
"04.02.2013, 00:23",Serbanna,Bar table and couche for free..(Zurich Airport),"Hey guys, who need such a furniture, please let me know.
it's close to Zurich Airport area.."
"11.02.2013, 09:09",ric,"Various free household items, mainly IKEA - Zürich, close to major roads.","Bathroom cabinet (almost identical model. matt white surface: Gonehttp://www.ikea.com/ch/de/catalog/pr...081/#/60240672
- matching metal feet, already attached: http://www.ikea.com/ch/de/catalog/products/50205198/
2 Benno CD/DVD racks: Gonehttp://www.ikea.com/ch/de/catalog/pr...310/#/00071318
1 Kilby Bookcases/DVD shelving:  http://www.ikea.com/ch/de/catalog/products/40068154/
Coffee table. Matte (stained) black brown Gonehttp://www.ikea.com/ch/de/catalog/products/40197486/
Sofabed (bleached part facing wall) Gonehttp://www.ikea.com/ch/de/catalog/products/20198972/
clock Gonehttp://www.ikea.com/de/de/catalog/products/90098974/
Table light: Gonehttp://www.ikea.com/ch/de/catalog/pr...486/#/20154416
foldable dish drying rack: Gonehttp://www.ikea.com/ch/de/catalog/products/20213835/
Two Bedside tables Gonehttp://m.ikea.com/ch/de/catalog/products/art/90053918/No time wasters! I've previously advertised stuff and people never bothered to turn up. Must be collected as soon as possible. PM for details."
"11.02.2013, 15:35",Marz,Duvet for free (pick up in Zollikerberg),I have a duvet to give away. Marz
"12.02.2013, 10:24",obayraktar67,Free: table and chair in Zurich,White IKEA table and white IKEA chair in Morgental
"12.02.2013, 10:24",obayraktar67,For sales: table and chair in Zurich,White IKEA table and white IKEA chair in Morgental
"11.02.2013, 16:33",obayraktar67,TV stand free,A wooden TV stand is free in Morgental
"08.02.2013, 21:16",isascott,Black leather sofa & Dining table & chairs,"Title:		Free Black Leather Sofa bed and Glass/Metal Table & Chairs - Zurich city
Pictures available in the link belowhttp://www.flickr.com/photos/92819937@N08/
Available for pick up in Zurich 8002 between Monday 18 and 23 February
PM username: fsz for more details or if you'd like to view.
Thanks"
"11.02.2013, 10:32",ric,Free non-squeeky bed - Zürich,This is a great bed (though missing 3 slats) but due to moving we have to part with it  it comes without a mattress and can be disassembled.
"11.02.2013, 08:43",Heidi,Free Matttress in Zurich,"Brand: Ikea
Length: 200cm
Width: 140cm
Color: grey
Only rarely used for guests staying over.
5 years old
Comes with duvet, pillow, 2 sets of bed and pillow sheets
Has to be picked up by Thursday 14th of Feb
Pick up in Zurich city
PM me for details"
"04.02.2013, 11:36",ElggDK,Free blinds/Rollos - Bülach/ZH,"Hello all.
I have 4 blinds/rollos from Ikea and they can be yours for free.
They look like this one and the measurements are 120 cm wide and approx. 130 cm long.
Three of them are WHITE and one is brown.
Pick up only.
Cheers."
"10.02.2013, 14:09",ezzirahc,"Zurich Oerlikon: Free Samsung LCD TV 40""","I would like to get rid of a 5 years old Samsung TV. 
The TV has a small problem.. if it is turned off, the remote cant turn it on again. It would work again if the power is unplugged and re-plugged.
I am not sure is it the hardware problem or just the remote problem.. My guess is that it could possibly be repaired but I have already got a new one so I prefer to just give it away for free. It can be used as PC monitor or as TV if you don't mind unplugging and plugging it all the time.
Pick up only
Zurich Oerlikon near Messe"
"06.02.2013, 23:00",foreverstudent,FREE in Kindhausen (Volketswil): 3x HiPP PRE HA Combiotik,"as our twin boys are moving on, we've got some stuff to give away:3 packs of HiPP PRE HA Combiotik milk formula some baby clothes, mostly of size 56. They are fine for girls too, unless you're obsessed with pink  the whole lot needs to be picked up in Kindhausen, which is few bus stops from Effretikon train station."
"04.02.2013, 15:14",rachvdg,Various Free Furniture [Solenberg],"We are moving house - and downsizing so need to get rid of quite a bit of furniture before we move out. 
I have a few free items that are available for pickup between now and the 15th Feb. The sooner the better!MUST BE picked up before then. 
We live up the side of a hill, up some stairs, so we can help you get stuff down the stairs to your car if needed, but please bring 2 people if you are getting any heavier items if possible - particularly for the couch or cupboards.  Cream leather 2 seater sofa with a foldout sofabed ** Definitely needs 2 or even 3 people to lift. Very solid and good condition, has a small burn mark under the front cushion but is hardly noticeable as it is underneath. 2 Ikea simple square black side tables Blue plastic outside table and 2 reclining chairs 2 grey plastic rattan outside chairs Large black bedroom cupboard with full length glass mirror doors Black 3 shelf bookshelf  1/2 height black corner tv stand with Philips crt tv on it White sideboard with 4 doors that have inset glass - has a small round tealight mark on the top of it, otherwise in generally good condition Black full length cupboard - for office - it is lockable White tall skinny bathroom cabinet Black set of double drawers for the bedroom (interio) one side of the front has a bit of the black peeling up, but it could easily be fixed with some glue and black paint. Is in otherwise very good condition and looks nice. 1 Solid light wood bunkbed that has integrated slats - it is stable for kids but not for adults. Mattress not included. 1 solid light wood bunkbed that has integrated slats - the bed can be separated into two single matching beds with headboards and baseboards or as one large bunkbed - mattresses not included. (unless you want the mattresses we have been using, which do not have the outer layer since we have been using them like that for our kids) This would be stable for kids. I will work on uploading pictures of the items, but I don't have photos of it all - so bear with me."
"02.02.2013, 11:43",Spottydog,Free exercise bike (Zurich),"I'm giving this away as what I actually wanted is a spinning bike this one is just a normal exercise bike. (although currently serving as a clothes horse)
You can adjust the seat height etc and it does have a speedo /timer / calorie counter, and there is a lever to adjust the difficulty.
Free for collection only I can not deliver."
"09.02.2013, 16:42",pakikawaii,Euro Pallet in great condition for free (Zurich),"I have an extra Euro pallet in great condition.  They are great for DIY projects.  We recently made a coffee table out of another one we had.
120 cm x 80 cm
PM if you would like me to send you pictures of the pallet.
Pick up would be in Seefeld area"
"09.02.2013, 14:23",chaynerose,Free sofa (rotkreuz),"Fress sofa
Available till friday Pm me if interested."
"09.09.2012, 21:21",Patxi,2 Free Britax Carseats - near Luzern,"2 free Britax Wizard carseats.
Approximately 6 years old. No accidents. They have been sitting in the wintergarten for the past year so could use a washing (fabric is removable and machine washable). ISO-FIX attachments. They worked for our kids from approximately 1 to 5 years of age (height adjustable). 
Here is a photo of one of them. The other is identical."
"07.02.2013, 10:45",Kiwi_Jane,Wanted: moving boxes - Geneva area,"Hi,
if anyone has any moving boxes, bubble wrap etc that they don't need anymore, I would be happy to take them off your hands.
Can pick up around the Geneva area.
Many thanks,
Jane"
"07.02.2013, 20:19",Cloudia,IKEA teapot to give away (Adliswil),"A nice IKEA teapot for free. First come first served~
Pick up in Adliswil, details please PM me."
"04.02.2013, 17:23",PennyMama,"zurich, 3 door ikea cupboard, round extendable table","hi, i just got rid of a 3 door cuptboard from ikea. i dont have pics because it is already disassembled and sitting outside. if no one is interested i will have to throw it out which would be a shame. it is a perfectly good closet but might need a little reiforcement.
then there is a big round, wood table. color grayish and legs are metal. Half is downstairs and the other half in my basement still. it has an additional panel for extending.
i am in 8002. please send me a message if you are interested and can pick up today or tomorrow."
"06.02.2013, 08:29",naspinal,"Philips 21"" TV","Free to a good home, one 21"" TV (CRT), in good working order"
"06.02.2013, 22:27",virtuallyswiss,[Zurich] Wanted: Chin-up/Pull-up bar,"The kind of thing one buys, then gives up on.
Anyone got one lying around? Or one of those dip/pull up stands?
Wanted for use in Zurich Wollishofen/Adliswil area."
"04.02.2013, 19:49",user-name,co-op offer stickers,"you might have noticed the co-op's recent offer on pots and pans, whereby you collect 30 stickers and get 2/3 off the original price of good looking utensils. anyway, the offer was originally until 26 january but i've noticed they are still selling them in some shops (eg near shmiede wiedikon). i asked and was told it's until they're all gone.
anyway, i've got a full book of stickers plus maybe ten more individual stickers. I've bought two pans previously but don't want anything else. if anyone wants this less-than-exciting freebie, then say so!"
"06.01.2013, 01:40",Thirtyfive,Free IKEA bed 140x200 in kreis 5 + free moving boxes,"Hello everyone!
I have this brand new bed, never used (bought the wrong one and lost the receipt):http://www.ikea.com/ch/de/catalog/pr...78/#/S79903176
If you want it come and pick it up!
Also: I have several moving boxes, free to take.
Ciao"
